Facility,Date,Hour,Scheduled Departures,Scheduled Arrivals,Departures For Metric Computation,Arrivals For Metric Computation,% On-Time Gate Departures,% On-Time Airport Departures,% On-Time Gate Arrivals,Average Gate Departure Delay,Average Taxi Out Time,Average Taxi Out Delay,Average Airport Departure Delay,Average Airborne Delay,Average Taxi In Delay,Average Block Delay,Average Gate Arrival Delay
EWR,2019-06-01 00:00:00,0.0,1.0,10.0,1.0,11.0,100.0,100.0,54.55,0.0,16.0,3.4,0.0,1.27,1.51,0.18,28.45
EWR,2019-06-01 00:00:00,1.0,1.0,2.0,1.0,6.0,100.0,100.0,83.33,2.0,20.0,7.4,9.0,5.33,3.5,8.67,8.5
EWR,2019-06-01 00:00:00,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EWR,2019-06-01 00:00:00,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EWR,2019-06-01 00:00:00,4.0,0.0,2.0,0.0,2.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,6.9,0.0,0.0
EWR,2019-06-01 00:00:00,5.0,5.0,13.0,5.0,16.0,100.0,100.0,87.5,0.0,18.2,5.08,2.2,12.94,2.24,5.25,50.56
EWR,2019-06-01 00:00:00,6.0,29.0,4.0,29.0,7.0,93.1,89.66,42.86,6.0,18.55,5.92,9.17,2.71,3.76,4.14,29.14
EWR,2019-06-01 00:00:00,7.0,29.0,33.0,30.0,35.0,83.33,76.67,85.71,13.1,22.67,9.9,19.63,2.86,3.33,2.51,7.14
EWR,2019-06-01 00:00:00,8.0,44.0,27.0,48.0,28.0,81.25,58.33,85.71,13.92,26.31,13.91,24.71,2.61,6.65,3.75,20.5
EWR,2019-06-01 00:00:00,9.0,31.0,19.0,33.0,18.0,75.76,48.48,94.44,22.73,26.91,14.05,33.61,1.44,4.95,1.06,1.33
EWR,2019-06-01 00:00:00,10.0,33.0,24.0,34.0,24.0,85.29,79.41,91.67,20.5,21.38,9.03,26.59,1.29,5.08,0.54,38.83
EWR,2019-06-01 00:00:00,11.0,24.0,20.0,24.0,20.0,79.17,75.0,85.0,18.13,15.88,3.69,20.42,0.45,4.07,1.7,25.1
